product_id,path,width,height
345301179,unzipped_images\images\image_test\image_1000095714_product_345301179.jpg,500,500
353636820,unzipped_images\images\image_test\image_1000139370_product_353636820.jpg,500,500
353626686,unzipped_images\images\image_test\image_1000221680_product_353626686.jpg,500,500
352882477,unzipped_images\images\image_test\image_1000434342_product_352882477.jpg,500,500
357695994,unzipped_images\images\image_test\image_1000524141_product_357695994.jpg,500,500
362578582,unzipped_images\images\image_test\image_1001073893_product_362578582.jpg,500,500
361300234,unzipped_images\images\image_test\image_1001520149_product_361300234.jpg,500,500
371862671,unzipped_images\images\image_test\image_1001647622_product_371862671.jpg,500,500
374386755,unzipped_images\images\image_test\image_1002150751_product_374386755.jpg,500,500
376142554,unzipped_images\images\image_test\image_1002247204_product_376142554.jpg,500,500
376142539,unzipped_images\images\image_test\image_1002247397_product_376142539.jpg,500,500
376372516,unzipped_images\images\image_test\image_1002267962_product_376372516.jpg,500,500
380510447,unzipped_images\images\image_test\image_1002476969_product_380510447.jpg,500,500
373336276,unzipped_images\images\image_test\image_1002497647_product_373336276.jpg,500,500
383177798,unzipped_images\images\image_test\image_1002633524_product_383177798.jpg,500,500
374309550,unzipped_images\images\image_test\image_1002665631_product_374309550.jpg,500,500
374309554,unzipped_images\images\image_test\image_1002665635_product_374309554.jpg,500,500
384824512,unzipped_images\images\image_test\image_1002734622_product_384824512.jpg,500,500
73088519,unzipped_images\images\image_test\image_1002935287_product_73088519.jpg,500,500
388572109,unzipped_images\images\image_test\image_1002971833_product_388572109.jpg,500,500
388574913,unzipped_images\images\image_test\image_1002974073_product_388574913.jpg,500,500
388575569,unzipped_images\images\image_test\image_1002974284_product_388575569.jpg,500,500
388574523,unzipped_images\images\image_test\image_1002974470_product_388574523.jpg,500,500
388571972,unzipped_images\images\image_test\image_1002976570_product_388571972.jpg,500,500
388574928,unzipped_images\images\image_test\image_1002980018_product_388574928.jpg,500,500
388572187,unzipped_images\images\image_test\image_1002980307_product_388572187.jpg,500,500
388571993,unzipped_images\images\image_test\image_1002980395_product_388571993.jpg,500,500
388573459,unzipped_images\images\image_test\image_1002982343_product_388573459.jpg,500,500
