productid,prdtypecode,matched_categories_top10
4293237,1160,3
4983688,2280,2
5862738,2280,3
8870838,40,2
46540267,1140,1
49132716,40,4
49747548,2280,5
50418756,1280,2
73334276,1160,3
81245478,2583,5
89332692,2280,4
90948388,40,4
91015572,1140,4
91920807,10,2
117625001,1160,3
124387132,2280,3
125293048,10,3
158007233,1300,1
190091299,40,3
190095382,40,2
190730270,2403,3
201115110,50,2
205828886,2280,3
207151480,2583,6
207257883,2583,4
211334790,2462,2
223805274,2403,5
254956784,2403,2
256504653,1320,2
258845359,2280,3
272891494,1281,1
278517003,2705,6
278528834,2705,7
278535884,2705,6
279822475,1140,3
289472891,2403,2
294403626,1280,3
298737347,2462,2
344240059,2522,5
353771623,40,1
388467753,1140,3
435016460,2280,5
435273724,2280,2
436067568,2280,3
444108636,10,2
476383013,2705,5
516394759,1300,2
522627969,1160,3
532980611,2220,1
535993293,2522,2
569548950,2280,4
569725834,2280,3
570628142,2280,5
570663184,2280,6
684292602,2060,1
824469524,2522,2
845432910,1320,1
871281071,1160,1
969179882,1560,3
1146674244,1302,1
1158987675,2583,4
1190507078,1560,4
1191766690,1320,2
1350498866,2705,8
1352145663,2583,4
1352146059,2583,2
1366398939,2462,2
1411852196,2403,2
1512728698,2280,4
1547138559,2403,2
1548294503,1180,1
1565732417,1140,4
1711734999,2905,1
1807806498,10,2
1810701779,2403,4
1857269337,2583,5
1859462393,2280,6
1882164320,1920,2
1893048509,1180,1
1915836983,1560,4
1932975409,1280,2
1952792748,1140,2
1989328275,2403,4
2033308192,1320,1
2050109964,2583,5
2074172103,2583,6
2091257012,2585,1
2142477536,2705,5
2160576205,1140,3
2230071933,2060,2
2255444083,2403,6
2333136838,1920,2
2406558169,1300,2
2476577455,50,3
2534214666,2583,1
2536863974,2522,3
2537777042,2705,7
2666371748,2522,2
2685362450,2585,1
2769353975,2403,2
2792163142,50,1
2823144007,2582,1
2852954663,2522,2
2932591602,1320,2
2940638631,2583,3
2984373231,2583,8
3079667218,1560,2
3090578073,2060,1
3147314797,2583,4
3212831992,2705,5
3226779852,1160,4
3228900895,1280,2
3249398687,1280,2
3255495124,1560,2
3287127001,1281,1
3294453709,1140,2
3493552571,1302,1
3494065274,2583,6
3564368264,2403,1
3691441491,2403,3
3718150116,2522,1
3735707499,2403,5
3748203527,1300,6
3748234383,1280,2
3775275367,2583,9
3793572222,2582,1
3804725264,10,2
3817904723,2522,3
3820236359,1560,4
3847254406,2060,2
3855161611,2583,5
3868342085,1280,1
3873228357,1560,2
3876189522,2522,1
3879890848,1300,4
3885602739,50,2
3893192098,1300,7
3893243612,1302,2
3904025129,1280,1
3908951214,2060,3
3908953944,2060,3
3921350051,2583,1
3929890128,2583,4
3936362802,2583,4
3944198188,1140,4
3951008374,1300,7
3967114281,2522,3
3992742695,1920,4
4004145763,1920,4
4006528698,1281,2
4006540302,1281,2
4007155304,1281,1
4010221940,1302,2
4010224699,1302,3
4012748163,1920,4
4017676858,1300,3
4041456409,1300,4
4044463867,1560,2
4077173787,2060,2
4086071880,2060,2
4086457567,2403,1
4101891756,2583,4
4108914287,1560,2
4122557333,1300,4
4127967621,1560,4
4128438373,2583,5
4137059841,1280,2
4137157149,2403,1
4150114277,2583,3
4159071251,2522,3
4159399664,1920,4
4164667711,2522,3
4168956093,1560,4
4170895440,1560,3
4172827940,1300,5
4173008727,1302,3
4180534759,1180,1
4182233005,1560,2
4182265443,1560,2
4186310238,1280,1
4187115528,1300,6
4187799604,1180,1
4193585163,1280,1
4197497931,1560,3
4198487181,2060,3
4200117001,2060,3
4200874030,60,2
4200877294,60,2
4201306796,2583,2
4211078394,1280,2
4211197055,2060,3
4213435883,2060,4
4214101388,2060,4
4214664230,1280,1
4223031202,2582,1
4229642138,1920,2
4232229083,40,1
4234288409,2060,3
4237073471,40,3
4239126071,1280,3
